-0.130900,138,1.012739,0.011443
-0.122173,136,1.012000,0.017671
-0.113447,10,1.011000,0.001989
-0.104720,0,-nan,-nan
-0.095993,42,1.113554,0.458989
-0.087267,20,1.017925,0.101607
-0.078540,105,1.007343,0.018035
-0.069813,138,1.006152,0.030562
-0.061087,131,1.007924,0.048585
-0.052360,61,1.006082,0.013907
-0.043633,0,-nan,-nan
-0.034907,43,1.155953,0.072649
-0.026180,12,1.166938,0.160161
-0.017453,4,1.116750,0.003139
-0.008727,0,-nan,-nan
-0.000000,0,-nan,-nan
0.008727,14,1.074357,0.038702
0.017453,29,1.050931,0.154079
0.026180,34,1.010243,0.086875
0.034906,116,1.005784,0.024006
0.043633,93,1.005226,0.011728
0.052360,0,-nan,-nan
0.061086,10,1.131100,0.010675
0.069813,24,1.128646,0.080708
0.078540,30,1.003917,0.105447
0.087266,49,1.011388,0.008416
0.095993,114,1.010798,0.009455
0.104720,114,1.012132,0.003853
0.113446,117,1.013607,0.005248
0.122173,111,1.014478,0.013889
0.130900,113,1.016080,0.003749
