-0.130900,160,0.217775,0.013536
-0.122173,160,0.216525,0.013230
-0.113447,169,0.215031,0.016267
-0.104720,164,0.213750,0.013850
-0.095993,174,0.212365,0.011826
-0.087267,166,0.210955,0.012795
-0.078540,166,0.209696,0.013985
-0.069813,159,0.208451,0.011908
-0.061087,169,0.207256,0.012229
-0.052360,158,0.205984,0.013005
-0.043633,164,0.204970,0.013086
-0.034907,161,0.203952,0.012852
-0.026180,168,0.202667,0.014194
-0.017453,165,0.201692,0.014206
-0.008727,74,0.200966,0.008651
-0.000000,155,0.199605,0.013333
0.008727,166,0.198678,0.014301
0.017453,159,0.197665,0.013975
0.026180,169,0.196741,0.014652
0.034906,157,0.195753,0.014160
0.043633,165,0.194983,0.012864
0.052360,168,0.194125,0.010736
0.061086,151,0.193263,0.003196
0.069813,156,0.192410,0.010446
0.078540,161,0.191710,0.014442
0.087266,167,0.190873,0.014337
0.095993,155,0.190231,0.005097
0.104720,150,0.189310,0.006685
0.113446,168,0.188577,0.014006
0.122173,157,0.187976,0.012888
0.130900,143,0.187264,0.003245
