-0.130900,120,1.353042,0.139580
-0.122173,151,1.375026,0.015906
-0.113447,36,1.365750,0.182477
-0.104720,5,1.243200,0.067228
-0.095993,0,-nan,-nan
-0.087267,0,-nan,-nan
-0.078540,0,-nan,-nan
-0.069813,0,-nan,-nan
-0.061087,0,-nan,-nan
-0.052360,0,-nan,-nan
-0.043633,3,0.806000,0.007876
-0.034907,156,0.780353,0.153728
-0.026180,179,0.744346,0.167375
-0.017453,180,0.709061,0.155260
-0.008727,96,0.683760,0.053995
-0.000000,180,0.648889,0.129831
0.008727,182,0.622011,0.124724
0.017453,180,0.597150,0.113532
0.026180,180,0.574239,0.112058
0.034906,177,0.553271,0.100830
0.043633,181,0.533873,0.097375
0.052360,179,0.515419,0.091206
0.061086,92,0.500163,0.077403
0.069813,179,0.482223,0.084031
0.078540,181,0.467519,0.079746
0.087266,180,0.453339,0.077549
0.095993,179,0.440106,0.075021
0.104720,183,0.427607,0.072791
0.113446,178,0.415865,0.068103
0.122173,169,0.405284,0.058991
0.130900,2,0.401000,0.000000
