-0.130900,151,0.251217,0.004387
-0.122173,159,0.250520,0.011190
-0.113447,172,0.250791,0.013051
-0.104720,160,0.250294,0.005171
-0.095993,158,0.250250,0.000000
-0.087267,152,0.250250,0.000000
-0.078540,163,0.249962,0.011568
-0.069813,162,0.249312,0.006135
-0.061087,165,0.249286,0.004816
-0.052360,154,0.249263,0.002814
-0.043633,152,0.249270,0.003435
-0.034907,160,0.249262,0.002815
-0.026180,163,0.249268,0.003437
-0.017453,162,0.249281,0.004409
-0.008727,69,0.249264,0.001988
-0.000000,151,0.249250,0.000000
0.008727,156,0.249250,0.000000
0.017453,165,0.249250,0.000000
0.026180,160,0.249256,0.001997
0.034906,154,0.249269,0.003435
0.043633,154,0.249295,0.005177
0.052360,152,0.250118,0.008333
0.061086,167,0.250250,0.000000
0.069813,154,0.250250,0.000000
0.078540,157,0.250250,0.000000
0.087266,155,0.250256,0.001992
0.095993,154,0.251068,0.009552
0.104720,158,0.251250,0.000000
0.113446,156,0.251250,0.000000
0.122173,151,0.251508,0.010724
0.130900,156,0.252250,0.000000
